activity_id,source_table,channel,kol_platform,kol_id,kol_username,kol_restaurant_id,kol_restaurant_name,kol_country,kol_cuisine_type,kol_post_url,kol_post_date,kol_price_per_post,kol_cpm,kol_views,kol_likes,kol_comments,kol_conv_rate,kol_growth_rate,crm_campaign_id,crm_campaign_name,crm_country,crm_restaurant_id,crm_restaurant_id_raw,crm_sent_datetime,crm_lang,crm_city,crm_audience,crm_topic,crm_published,crm_sent,crm_delivered,crm_total_clicked,crm_unique_clicked,crm_unique_conversions,crm_revenue,crm_ctr,crm_click_to_purchase,crm_delivered_to_purchase,crm_rev_per_click,fb_ad_name,fb_delivery_status,fb_delivery_level,fb_result_type,fb_country,fb_start_date,fb_end_date,fb_restaurant_id,fb_restaurant_id_2,fb_restaurant_id_3,fb_restaurant_id_4,fb_restaurant_id_5,fb_reach,fb_impressions,fb_frequency,fb_results,fb_amount_spent_thb,fb_cost_per_result,activity_start,activity_end
KOL_ad51d27e39a5,KOL_Posts.csv,KOL,Instagram,HH-INBIK,bigjohnjiak,5149,NAMA Japanese and Seafood Buffet (Hungry Hub),Bangkok,Japanese,Instagram.com/bigjohnjiak,2025-10-06,12656.0,460.69,27473.0,369.0,6.0,0.013600000000000001,0.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06 00:00:00,2025-10-11 00:00:00
KOL_cdbdbfc1318e,KOL_Posts.csv,KOL,Instagram,HH-INBRL,brenttimmtravel,,Copper Beyond Buffet Gaysorn Amarin,Bangkok,,Instagram.com/brenttimmtravel,2025-07-25,,0.0,52120.0,463.0,10.0,0.0091,1.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-25 00:00:00,2025-07-30 00:00:00
KOL_b43b84e3b510,KOL_Posts.csv,KOL,Instagram,HH-INBRL,brenttimmtravel,4889,Gentle Butcher by Bangkok Butcher,Bangkok,Steakhouse,Instagram.com/brenttimmtravel,2025-08-14,,0.0,35947.0,283.0,7.0,0.008100000000000001,2.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-14 00:00:00,2025-08-19 00:00:00
KOL_77e65ce59eec,KOL_Posts.csv,KOL,Instagram,HH-INBRL,brenttimmtravel,,Copper Beyond Buffet Gaysorn Amarin,Bangkok,,Instagram.com/brenttimmtravel,2025-08-30,,0.0,33510.0,229.0,7.0,0.006999999999999999,1.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-30 00:00:00,2025-09-04 00:00:00
KOL_7bfb8ea37104,KOL_Posts.csv,KOL,Instagram,HH-INBRL,brenttimmtravel,4652,Jharokha by Indus,Bangkok,Indian,Instagram.com/brenttimmtravel,2025-09-04,10000.0,306.83,32591.0,187.0,6.0,0.0059,1.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-04 00:00:00,2025-09-09 00:00:00
KOL_5c55b805aac0,KOL_Posts.csv,KOL,Instagram,HH-INBRL,brenttimmtravel,5349,Samosorn One Bangkok,Bangkok,Thai,Instagram.com/brenttimmtravel,2025-09-15,10000.0,301.5,33168.0,186.0,3.0,0.005699999999999999,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-15 00:00:00,2025-09-20 00:00:00
KOL_fb2d79c3ce07,KOL_Posts.csv,KOL,Tiktok,HH-INBRL,brenttimmtravel,5349,Samosorn One Bangkok,Bangkok,Thai,Tiktok.com/@brenttimmtravel,2025-09-15,10000.0,204.92,48800.0,503.0,20.0,0.010700000000000001,3.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-15 00:00:00,2025-09-20 00:00:00
KOL_b81b3b1af937,KOL_Posts.csv,KOL,Instagram,HH-INBUW,bubufoodshow,,Saneh Jaan Glasshouse Sindhorn Wireless road,Bangkok,,Instagram.com/bubufoodshow,2025-06-25,,0.0,6583.0,533.0,1.0,0.08109999999999999,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-25 00:00:00,2025-06-30 00:00:00
KOL_9b0f68436d3a,KOL_Posts.csv,KOL,Instagram,HH-INBUW,bubufoodshow,280,Vertigo Rooftop Banyan Tree,Bangkok,International,Instagram.com/bubufoodshow,2025-06-27,,0.0,8976.0,,1.0,0.0,1.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-27 00:00:00,2025-07-02 00:00:00
KOL_d95cc3cdb88f,KOL_Posts.csv,KOL,Instagram,HH-INBUW,bubufoodshow,5836,IGNIV Bangkok at The St.Regis Bangkok (One Michelin Star),Bangkok,European,Instagram.com/bubufoodshow,2025-06-28,,0.0,7242.0,,5.0,0.0006,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-28 00:00:00,2025-07-03 00:00:00
KOL_c90f239b710a,KOL_Posts.csv,KOL,Instagram,HH-INCA9,candychi99,2482,Saffron Sky Garden Rooftop Banyan Tree Bangkok,Bangkok,Thailand ,Instagram.com/candychi99,2024-08-29,,0.0,18209.0,,139.0,0.0076,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-29 00:00:00,2024-09-03 00:00:00
KOL_3df80412990c,KOL_Posts.csv,KOL,Instagram,HH-INCAW,carmen_wqw,3862,Siam Yacht Club Royal Orchid Sheraton Riverside,Bangkok,International,,2025-04-28,6355.0,190.3,33395.0,787.0,1.0,0.0236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-28 00:00:00,2025-05-03 00:00:00
KOL_811f13f86d0f,KOL_Posts.csv,KOL,Instagram,HH-INCHH,chai_shin_yih,3862,Siam Yacht Club Royal Orchid Sheraton Riverside,Bangkok,International,,2025-04-04,2754.0,178.39,15438.0,183.0,96.0,0.0181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04 00:00:00,2025-04-09 00:00:00
KOL_ab3fd6a7da84,KOL_Posts.csv,KOL,Instagram,HH-INCHTSAA,christianandakita,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Bangkok,International,,2025-10-31,2275.0,83.18,27349.0,377.0,12.0,0.014199999999999999,3.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31 00:00:00,2025-11-05 00:00:00
KOL_6306efa3575f,KOL_Posts.csv,KOL,Tiktok,HH-INCHTSAA,christianandakitaeats,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Bangkok,International,https://tiktok.com/@christianandakitaeats,2025-10-31,2275.0,333.77,6816.0,150.0,2.0,0.0223,4.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31 00:00:00,2025-11-05 00:00:00
KOL_f53950bcfddd,KOL_Posts.csv,KOL,Tiktok,HH-INCHTSAA,christianandakitaeats,5149,NAMA Japanese and Seafood Buffet (Hungry Hub),Bangkok,Japanese,https://tiktok.com/@christianandakitaeats,2025-11-04,2275.0,411.39,5530.0,132.0,2.0,0.0242,2.7880000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-04 00:00:00,2025-11-09 00:00:00
KOL_70e35a1f242c,KOL_Posts.csv,KOL,Tiktok,HH-INCHTSAA,christianandakitaeats,1594,Flavors at Renaissance Bangkok,Bangkok,International,https://tiktok.com/@christianandakitaeats,2025-11-16,4550.0,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-16 00:00:00,2025-11-21 00:00:00
KOL_02e7be941ac6,KOL_Posts.csv,KOL,Instagram,HH-INDIY,dilanthony,712,Vertigo TOO Banyan Tree,Bangkok,International,Instagram.com/dilanthony,2024-08-01,,0.0,793985.0,30256.0,136.0,0.0383,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-01 00:00:00,2024-08-06 00:00:00
KOL_7b6996fe2924,KOL_Posts.csv,KOL,Instagram,HH-INDRM,drelias_tam,837,Copper Beyond Buffet The Sense Pinklao (Hungry Hub),Bangkok,International ,Instagram.com/drelias_tam,2024-08-14,,0.0,166281.0,2090.0,40.0,0.0128,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-14 00:00:00,2024-08-19 00:00:00
KOL_c48dabac2949,KOL_Posts.csv,KOL,Instagram,HH-INFOX,foodtreasurebox,837,Copper Beyond Buffet The Sense Pinklao (Hungry Hub),Bangkok,International ,Instagram.com/foodtreasurebox,2024-09-04,,0.0,118703.0,1617.0,8.0,0.0137,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-04 00:00:00,2024-09-09 00:00:00
KOL_e62740c286dc,KOL_Posts.csv,KOL,Tiktok,HH-INGIM,giadinhcamcam,5711,Apsara Cruise by Banyan Tree,Bangkok,Thai,Tiktok.com/@giadinhcamcam,2025-07-19,,0.0,19200.0,319.0,6.0,0.0169,8.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-19 00:00:00,2025-07-24 00:00:00
KOL_50a1c3ed6df4,KOL_Posts.csv,KOL,Tiktok,HH-INGIM,giadinhcamcam,,Copper Beyond Buffet Gaysorn Amarin,Bangkok,,Tiktok.com/@giadinhcamcam,2025-07-26,,0.0,64800.0,1862.0,17.0,0.028999999999999998,2.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-26 00:00:00,2025-07-31 00:00:00
KOL_fd382d3c0771,KOL_Posts.csv,KOL,Tiktok,HH-INGIM,giadinhcamcam,5149,NAMA Japanese and Seafood Buffet (Hungry Hub),Bangkok,Japanese,Tiktok.com/@giadinhcamcam,2025-08-03,,0.0,30900.0,704.0,6.0,0.023,3.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-03 00:00:00,2025-08-08 00:00:00
KOL_d7e44e3323f9,KOL_Posts.csv,KOL,Instagram,HH-INGON,gocmengen,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Bangkok,International,Instagram.com/gocmengen,2025-09-15,0.0,0.0,13285.0,84.0,7.0,0.0068000000000000005,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-15 00:00:00,2025-09-20 00:00:00
KOL_381416029b73,KOL_Posts.csv,KOL,Instagram,HH-INGOS,goofytwocooks,4039,Oishi Grand Siam Paragon,Bangkok,Japanese,Instagram.com/goofytwocooks,2025-06-21,2072.0,48.75,42502.0,,64.0,0.0015,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 00:00:00,2025-06-26 00:00:00
KOL_3ec5d70a1c67,KOL_Posts.csv,KOL,Instagram,HH-INHAS,happylizzieeats,5977,Baan Suriyasai @ One Bangkok,Bangkok,Thai,Instagram.com/happylizzieeats,2025-06-24,,0.0,5109.0,,12.0,0.0022,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-24 00:00:00,2025-06-29 00:00:00
KOL_061f15e8d4a5,KOL_Posts.csv,KOL,Instagram,HH-INHAS,happylizzieeats,5904,Restaurant PATT,Bangkok,French,Instagram.com/happylizzieeats,2025-06-30,,0.0,8869.0,,30.0,0.0033,1.3730000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-30 00:00:00,2025-07-05 00:00:00
KOL_ff3bf06a738e,KOL_Posts.csv,KOL,Instagram,HH-INHOY,hotelbuffet.my,,Copper Beyond Buffet Gaysorn Amarin,Bangkok,,Instagram.com/hotelbuffet.my,2025-08-24,,0.0,5305.0,54.0,4.0,0.0109,8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-24 00:00:00,2025-08-29 00:00:00
KOL_172197084534,KOL_Posts.csv,KOL,Instagram,HH-INITN,itsyourgirl.erin,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Bangkok,International,Instagram.com/itsyourgirl.erin,2025-09-25,5000.0,148.83,33595.0,,8.0,0.0002,4.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-25 00:00:00,2025-09-30 00:00:00
KOL_8e65f7467a50,KOL_Posts.csv,KOL,Tiktok,HH-INITN,itsyourgirl.erin,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Bangkok,International,Tiktok.com/@itsyourgirl.erin,2025-09-25,5000.0,17667.84,283.0,21.0,1.0,0.07769999999999999,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-25 00:00:00,2025-09-30 00:00:00
KOL_69c34d427c8a,KOL_Posts.csv,KOL,Instagram,HH-INITN,itsyourgirl.erin,3005,Great Harbour International Buffet,Bangkok,International,Instagram.com/itsyourgirl.erin,2025-09-27,5000.0,28.75,173923.0,,49.0,0.0003,755.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-27 00:00:00,2025-10-02 00:00:00
KOL_e7fb20f24c14,KOL_Posts.csv,KOL,Instagram,HH-INITN,itsyourgirl.erin,5149,NAMA Japanese and Seafood Buffet (Hungry Hub),Bangkok,Japanese,Instagram.com/itsyourgirl.erin,2025-09-29,5000.0,353.68,14137.0,,6.0,0.0004,18.499000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-29 00:00:00,2025-10-04 00:00:00
KOL_cfcd2630c0b0,KOL_Posts.csv,KOL,Instagram,HH-INKA_,kawaiimah_,2482,Saffron Sky Garden Rooftop Banyan Tree Bangkok,Bangkok,Thailand,Instagram.com/kawaiimah_,2024-09-23,,0.0,12906.0,,8.0,0.0005,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-23 00:00:00,2024-09-28 00:00:00
KOL_20f362843a33,KOL_Posts.csv,KOL,Instagram,HH-INKI_,kivalive_,4195,"Jim Thompson, A Thai Restaurant",Bangkok,Thai,Instagram.com/kivalive_,2025-09-16,6667.0,549.78,12126.0,314.0,6.0,0.0264,9.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-16 00:00:00,2025-09-21 00:00:00
KOL_8410a99e8f28,KOL_Posts.csv,KOL,Instagram,HH-INKI_,kivalive_,5945,Kohaku Omakase,Bangkok,Japanese,Instagram.com/kivalive_,2025-09-22,6667.0,517.0,12895.0,259.0,13.0,0.021099999999999997,5.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-22 00:00:00,2025-09-27 00:00:00
KOL_a28723fd11c6,KOL_Posts.csv,KOL,Instagram,HH-INKI_,kivalive_,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Bangkok,International,Instagram.com/kivalive_,2025-10-07,6667.0,439.84,15157.0,334.0,9.0,0.0226,14.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-07 00:00:00,2025-10-12 00:00:00
KOL_d5f17bc4c9d2,KOL_Posts.csv,KOL,Instagram,HH-INLAY,lastminuteguy,837,Copper Beyond Buffet The Sense Pinklao (Hungry Hub),Bangkok,International,Instagram.com/lastminuteguy,2025-06-27,,0.0,133925.0,15652.0,77.0,0.1174,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-27 00:00:00,2025-07-02 00:00:00
KOL_2e013b562839,KOL_Posts.csv,KOL,Instagram,HH-INLEH,leslie.koh,3166,Koko Japanese Omakase,Bangkok,Japanese,Instagram.com/leslie.koh,2024-08-17,,0.0,11474.0,142.0,10.0,0.0132,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-17 00:00:00,2024-08-22 00:00:00
KOL_c640fc3fce4c,KOL_Posts.csv,KOL,Instagram,HH-INLEH,leslie.koh,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Bangkok,International,Instagram.com/leslie.koh,2025-09-25,7594.0,375.04,20248.0,288.0,26.0,0.0155,1.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-25 00:00:00,2025-09-30 00:00:00
KOL_e398bc7d8e11,KOL_Posts.csv,KOL,Instagram,HH-INLIY,littlepuffy_diary,643,Mojjo Rooftop Lounge & Bar Skyview Hotel,Bangkok,Mexican,Instagram.com/littlepuffy_diary,2024-10-11,,0.0,17147.0,222.0,17.0,0.0139,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-11 00:00:00,2024-10-16 00:00:00
KOL_4a883e39c265,KOL_Posts.csv,KOL,Instagram,HH-INMRN,mrf00dporn,837,Copper Beyond Buffet The Sense Pinklao (Hungry Hub),Bangkok,International ,Instagram.com/mrf00dporn,2024-07-26,,0.0,369538.0,3276.0,71.0,0.0091,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-26 00:00:00,2024-07-31 00:00:00
KOL_bb4a81ce56be,KOL_Posts.csv,KOL,Instagram,HH-INNAI,namrata_pardasani,,Copper Beyond Buffet Gaysorn Amarin,Bangkok,,Instagram.com/namrata_pardasani,2025-07-05,,0.0,37321.0,1675.0,41.0,0.046,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-05 00:00:00,2025-07-10 00:00:00
KOL_86aad3f5d72e,KOL_Posts.csv,KOL,Instagram,HH-INRAL,randomtravelll,1198,Red Sky Rooftop & Bar 56th Floor,Bangkok,International,Instagram.com/randomtravelll,2025-09-10,0.0,0.0,1753.0,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-10 00:00:00,2025-09-15 00:00:00
KOL_00d5cc741bee,KOL_Posts.csv,KOL,Instagram,HH-INRAL,randomtravelll,1198,Red Sky Rooftop & Bar 56th Floor,Bangkok,International,Instagram.com/randomtravelll,2025-09-18,0.0,0.0,27464.0,110.0,20.0,0.004699999999999999,0.006999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-18 00:00:00,2025-09-23 00:00:00
KOL_da81340fedfb,KOL_Posts.csv,KOL,Tiktok,HH-INSGO,sgadventurousduo,3005,Great Harbour International Buffet,Bangkok,International,https://tiktok.com/@sgadventurousduo,2024-11-05,5063.0,,187151.0,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-05 00:00:00,2024-11-10 00:00:00
KOL_0324d9410765,KOL_Posts.csv,KOL,Instagram,HH-INSHR,shrugmyshoulder,280,Vertigo Rooftop Banyan Tree,Bangkok,International ,Instagram.com/shrugmyshoulder,2024-07-29,,0.0,16065.0,127.0,12.0,0.0087,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-29 00:00:00,2024-08-03 00:00:00
KOL_24124b101268,KOL_Posts.csv,KOL,Tiktok,HH-INSHR,shrugmyshoulder,4889,Gentle Butcher by Bangkok Butcher,Bangkok,Steakhouse,https://tiktok.com/@shrugmyshoulder,2025-04-06,,,6420.0,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-06 00:00:00,2025-04-11 00:00:00
KOL_fe4bfeaea458,KOL_Posts.csv,KOL,Instagram,HH-INSOY,sovifooddiary,1893,Sirimahannop Asiatique The Riverfront,Bangkok,Thai,Instagram.com/sovifooddiary,2025-09-09,6000.0,599.7,10005.0,,1.0,0.0,0.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-09 00:00:00,2025-09-14 00:00:00
KOL_3170e3a8ab56,KOL_Posts.csv,KOL,Instagram,HH-INSTI,stefano_cicchini,3862,Siam Yacht Club Royal Orchid Sheraton Riverside,Bangkok,International,Instagram.com/stefano_cicchini,2025-07-03,,0.0,124610.0,5457.0,40.0,0.0441,1.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-03 00:00:00,2025-07-08 00:00:00
KOL_8c9c24e4e019,KOL_Posts.csv,KOL,Instagram,HH-INSTI,stefano_cicchini,2382,Khao Wireless Road,Bangkok,Thai,Instagram.com/stefano_cicchini,2025-08-02,,0.0,111818.0,3251.0,22.0,0.029300000000000003,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-02 00:00:00,2025-08-07 00:00:00
KOL_edae7a84f1bd,KOL_Posts.csv,KOL,Instagram,HH-INSTI,stefano_cicchini,3862,Siam Yacht Club Royal Orchid Sheraton Riverside,Bangkok,International,,2025-11-02,8781.0,28.99,302874.0,3319.0,112.0,0.0113,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-02 00:00:00,2025-11-07 00:00:00
KOL_3dc3908f6348,KOL_Posts.csv,KOL,Instagram,HH-INTHS,thelifeofananas,5149,NAMA Japanese and Seafood Buffet (Hungry Hub),Bangkok,Japanese,Instagram.com/thelifeofananas,2025-09-27,,0.0,6077.0,,7.0,0.001,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-27 00:00:00,2025-10-02 00:00:00
KOL_93cd3a683e2a,KOL_Posts.csv,KOL,Tiktok,HH-INTHS,thelifeofananas,5149,NAMA Japanese and Seafood Buffet (Hungry Hub),Bangkok,Japanese,Tiktok.com/@thelifeofananas,2025-09-27,,0.0,5441.0,203.0,13.0,0.0397,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-27 00:00:00,2025-10-02 00:00:00
KOL_479c28b30261,KOL_Posts.csv,KOL,Instagram,HH-INTHS,thelifeofananas,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Bangkok,International,Instagram.com/thelifeofananas,2025-10-06,,0.0,6646.0,,5.0,0.0006,1.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06 00:00:00,2025-10-11 00:00:00
KOL_53829d5b47cd,KOL_Posts.csv,KOL,Tiktok,HH-INTHS,thelifeofananas,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Bangkok,International,https://tiktok.com/@thelifeofananas,2025-10-06,,0.0,2568.0,132.0,5.0,0.0533,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06 00:00:00,2025-10-11 00:00:00
